fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source,month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,2,19977.0,UA,UA,United Air Lines Inc.,3,112265317.0,45864734.0,49097012.0,27092594.0,122054340.0,234319657.0,113046868.0,122415882.0,235462750.0,223503554.0,92113254.0,100380803.0,57016884.0,249510941.0,473014495.0,225059256.0,250253729.0,475312985.0,2018
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,1,19977.0,UA,UA,United Air Lines Inc.,3,120128303.0,49380913.0,54011106.0,31260979.0,134652998.0,254781301.0,120886857.0,135095219.0,255982076.0,237636702.0,97620436.0,105935311.0,64407817.0,267963564.0,505600266.0,239129660.0,268814169.0,507943829.0,2018
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,9,19977.0,UA,UA,United Air Lines Inc.,3,141650742.0,76362770.0,51251749.0,21997143.0,149611662.0,291262404.0,142963521.0,149948902.0,292912423.0,269880307.0,146157283.0,98447438.0,43893813.0,288498534.0,558378841.0,272383646.0,289135932.0,561519578.0,2019
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,8,19977.0,UA,UA,United Air Lines Inc.,3,162360183.0,75508731.0,55800390.0,29621923.0,160931044.0,323291227.0,163531864.0,161156564.0,324688428.0,308413848.0,145753696.0,109459063.0,60135055.0,315347814.0,623761662.0,310650235.0,315782939.0,626433174.0,2019
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,7,19977.0,UA,UA,United Air Lines Inc.,3,163602359.0,76391495.0,54888033.0,33224952.0,164504480.0,328106839.0,164295066.0,164694081.0,328989147.0,318916771.0,149560487.0,106573191.0,68329653.0,324463331.0,643380102.0,320251056.0,324816300.0,645067356.0,2019
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,6,19977.0,UA,UA,United Air Lines Inc.,3,158802116.0,75616971.0,53292139.0,31692487.0,160601597.0,319403713.0,159500662.0,160737489.0,320238151.0,306347461.0,147753982.0,106826039.0,65593766.0,320173787.0,626521248.0,307713727.0,320455909.0,628169636.0,2019
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,5,19977.0,UA,UA,United Air Lines Inc.,3,153202004.0,73294536.0,54098845.0,27860083.0,155253464.0,308455468.0,153949739.0,155465624.0,309415363.0,322624581.0,152795530.0,115391388.0,60866483.0,329053401.0,651677982.0,324208102.0,329510626.0,653718728.0,2019
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,4,19977.0,UA,UA,United Air Lines Inc.,3,144590058.0,60523632.0,51831017.0,31206029.0,143560678.0,288150736.0,145411013.0,143673409.0,289084422.0,294430837.0,122350380.0,106637727.0,66383872.0,295371979.0,589802816.0,296103451.0,295602761.0,591706212.0,2019
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,3,19977.0,UA,UA,United Air Lines Inc.,3,147713026.0,59512296.0,55608646.0,34000681.0,149121623.0,296834649.0,148464310.0,149383772.0,297848082.0,293660063.0,118095979.0,111813272.0,72117501.0,302026752.0,595686815.0,295178703.0,302550240.0,597728943.0,2019
2018-07-10,UA,UA_CODESHARE,UA,3820,ZW,N469AW,3820,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1710,1704.0,-6.0,20.0,1724.0,1826.0,4.0,1852,1830.0,-22.0,0.0,,0.0,N,102.0,86.0,62.0,1.0,384.0,,,,,,,,,,20.0,20.0,723164.0,3000.0,2870.0,272.0,34539.0,1781.0,4455.0,3978.0,UA,19977,United Air Lines Inc.,D,UA,United Air Lines Inc.,3,3,14893,33192,SMF,"Sacramento, CA",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,6,694,1,2017,11,4,F,DU,2,19977.0,UA,UA,United Air Lines Inc.,3,119312158.0,47970572.0,47881165.0,28457222.0,124308959.0,243621117.0,120087215.0,124665157.0,244752372.0,229838806.0,91564050.0,91129457.0,58249915.0,240943422.0,470782228.0,231327828.0,241611991.0,472939819.0,2019
